subjects,words,contexts,gestured,meanF0,maxF0
subj10_shorten_mono,subete,not > all,n,289.2593258,358.3593738
subj10_shorten_mono,no,,y,238.8024734,254.1036401
subj10_shorten_mono,magnolia-no-hana-wasakanai,,n,184.3024616,226.0077255
subj10_shorten_mono,desyoo,,y,46.75621962,46.89793135
subj10_shorten_mono,subete-no,all > not,y,223.1533902,285.0445066
subj10_shorten_mono,magnolias,,y,183.3307292,195.6695568
subj10_shorten_mono,no  hana wa,,n,187.0660655,272.3581733
subj10_shorten_mono,sakanai,,y,174.0836728,210.3957584
subj10_shorten_mono,desyoo,,y,264.5796583,269.1824204
subj10_shorten_mono,Liam,many > not,n,242.0039119,289.727366
subj10_shorten_mono,wa,,y,171.9371009,177.3678607
subj10_shorten_mono,ooku-nosotugyoosee-o,,n,207.2964846,277.356006
subj10_shorten_mono,sirimasen,,y,206.6644305,252.0501817
subj10_shorten_mono,Liam,not > many,n,233.9017569,278.188064
subj10_shorten_mono,wa,,y,196.9939069,236.0826752
subj10_shorten_mono,ooku-nosotugyoosee,,n,221.2256144,305.8758806
subj10_shorten_mono,o,,y,236.6451502,311.517072
subj10_shorten_mono,sirimasen,,y,214.0073404,313.0583755
subj10_shorten_mono,subete-nourazi,all > not,n,229.7363987,316.682545
subj10_shorten_mono,wa,,y,226.1196836,238.5641674
subj10_shorten_mono,hoturetei-masen,,n,170.4212988,265.9114949
subj10_shorten_mono,desita,,y,226.2188222,235.0399709
subj10_shorten_mono,subete-no,not >all,y,276.4580599,339.5662839
subj10_shorten_mono,urazi,,n,196.3536208,253.4228762
subj10_shorten_mono,wa,,y,316.9716588,331.951104
subj10_shorten_mono,hoturete,,y,180.6609223,237.5614261
subj10_shorten_mono,i-masen,,n,137.6332617,233.8929651
subj10_shorten_mono,desita,,y,248.8799554,276.9803334
subj10_shorten_mono,Neil,most > not,n,244.0753674,294.6753302
subj10_shorten_mono,wa,,y,188.7492362,192.5251051
subj10_shorten_mono,hotonodo-nomusical-okansyoo,,n,245.2202834,353.5315205
subj10_shorten_mono,simasen,,y,249.8038052,261.4953814
subj10_shorten_mono,Neil,not > most,n,246.1158159,288.9450622
subj10_shorten_mono,wa,,y,194.906248,221.7372992
subj10_shorten_mono,hotonodo-nomusical-okansyoo,,n,198.0429327,309.0393613
subj10_shorten_mono,simasen,,y,198.7969957,237.2849285
subj10_shorten_mono,subete-nookaasan,not > all,n,213.1676237,293.1414992
subj10_shorten_mono,wa,,y,187.7691496,204.3088795
subj10_shorten_mono,eyeliner-oyurusimasen,,n,192.6320684,238.5513413
subj10_shorten_mono,desita,,y,231.2775356,232.499164
subj10_shorten_mono,subete-nookaasan,all > not,n,212.3452519,338.0862025
subj10_shorten_mono,wa,,y,181.5955891,182.6532773
subj10_shorten_mono,eyeliner-oyurusimasen,,n,178.2645934,270.8042786
subj10_shorten_mono,desita,,y,265.5506125,270.2693866
subj12_shorten_mono,subete,not > all,n,339.6664017,362.1743369
subj12_shorten_mono,no,,y,318.0688804,335.5308835
subj12_shorten_mono,magnolias-no-hana,,n,307.1371034,324.8691388
subj12_shorten_mono,wa,,y,364.996352,391.6655749
subj12_shorten_mono,sakanai,,n,265.1701355,383.6022036
subj12_shorten_mono,desyoo,,y,219.7254399,230.682116
subj12_shorten_mono,subete,all > not,y,328.6170006,345.0538249
subj12_shorten_mono,no,,n,265.9829611,292.6179009
subj12_shorten_mono,magnolias-no-hana,,n,273.3356772,297.8500089
subj12_shorten_mono,wa,,y,299.1519439,315.6200559
subj12_shorten_mono,sakanai,,n,246.925447,265.6458993
subj12_shorten_mono,desyoo,,y,203.2056557,229.5739076
subj12_shorten_mono,Liam,many > not,n,301.7705705,332.5261842
subj12_shorten_mono,wa,,y,281.5343475,287.4218544
subj12_shorten_mono,ooku-nosotugyoosee,,y,330.9908426,367.1439703
subj12_shorten_mono,o,,n,368.3893858,387.3447297
subj12_shorten_mono,sirimasen,,y,234.7215525,258.5720358
subj12_shorten_mono,Liam,not > mamy,n,288.6403416,328.8941513
subj12_shorten_mono,wa,,y,278.4488015,284.8905143
subj12_shorten_mono,ooku-no,,n,329.4070569,364.085604
subj12_shorten_mono,sotugyoosee,,n,299.0365963,314.6473432
subj12_shorten_mono,o,,y,358.3601243,393.1025293
subj12_shorten_mono,sirimasen,,y,232.4572199,265.6325286
subj12_shorten_mono,subete,all > not,n,343.8133945,373.3782138
subj12_shorten_mono,no,,y,282.7869408,299.2309468
subj12_shorten_mono,urazi,,n,276.2034386,300.4761864
subj12_shorten_mono,wa,,y,352.5926517,366.3764902
