subject,sentence,context,sentence_length,maxF0,minF0,F1,F2,F3,keyword,last_word_len
subj10_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2734.976,358.3593738,46.54213521,660.077005,1486.663824,2649.241086,magnolia,914.766
subj10_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2617.953,285.0445066,86.60085154,1000.523154,1348.757295,3311.746246,magnolia,892.15
subj10_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2759.442,289.727366,161.879119,529.5314498,1238.7456,3000.111315,alumnus,770.628
subj10_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2909.954,313.0583755,90.22230376,521.9387223,1961.798935,2917.166264,alumnus,666.89
subj10_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2950.466,316.682545,63.65673685,835.8353435,2084.895706,2616.234755,wool,1246.03
subj10_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2387.851,339.5662839,53.26305054,795.1096638,1167.219,2653.815163,wool,1137.062
subj10_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3658.831,353.5315205,128.493962,645.22512,1527.090095,3203.844125,musical,955.933
subj10_shorten_mono,Neil-Topmost-Genmusical-GenenjoyNeg,not > most/many,3129.937,309.0393613,100.2322137,422.4038585,1957.423845,2777.743048,musical,1063.03
subj10_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3295.918,293.1414992,78.94495389,432.3021227,2216.019354,3060.737422,eyeliner,1120.065
subj10_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3166.621,338.0862025,52.81472331,718.8518514,1593.229503,3055.919117,eyeliner,1077.524
subj12_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2919.896,391.6655749,209.3646995,883.9247351,1469.128556,3093.554189,magnolia,956.477
subj12_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2962.548,345.0538249,182.9737639,806.550116,1647.471643,3233.716408,magnolia,1010.501
subj12_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,3269.76,387.3447297,214.0422287,343.2539469,1910.241354,2709.79012,alumnus,729.156
subj12_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,3459.406,393.1025293,200.7705914,372.9523502,1739.937488,2701.908071,alumnus,761.854
subj12_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2766.217,373.3782138,146.7784369,948.4392399,1449.608435,2956.512257,wool,1361.062
subj12_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2900.277,417.8386745,178.3841656,502.2604766,1234.422651,3029.747349,wool,1615.261
subj12_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3828.665,350.2451778,100.7552713,332.7653311,2342.282217,3042.642594,musical,1157.495
subj12_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,4072.491,419.6103511,102.9155985,765.0358744,1209.571887,2568.134681,musical,1149.326
subj12_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,4008.726,393.4655194,193.8386589,824.522024,1482.447595,2813.775853,eyeliner,1177.114
subj12_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3720.987,379.0548718,202.5586526,796.1409913,1918.24798,2813.98171,eyeliner,1347.141
subj13_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3202.687,397.3768709,46.76192798,647.7791968,1876.942683,2581.315774,eyeliner,996.776
subj13_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3031.481,320.5647985,133.6969935,727.3873122,1788.700066,2548.568128,eyeliner,982.353
subj13_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2858.57,292.8447237,181.0353996,368.901255,2132.723221,2831.526168,musical,893.303
